id,race,clothes,drink,boots,accessories,glasses
2937,Bear,Bathrobe,Beer,Sandals with socks,Golden chains,Black
2938,Bear,Fur coat,Vodka,Army boots,Golden chains,
2939,Bear,Fur coat,Beer,Felt boots,,
2940,Bear,Costume,Vodka,Slippers,,Love
2941,Bear,Costume,Beer,The Lapti,,
2942,Bear,Medical uniform,Beer,Army boots,Scar,
2943,Bear,Skin,Beer,,Golden chains,
2944,Bear,Vest,Vodka,Army boots,The Ushanka,
2945,Bear,Shirt with tie,Vodka,Felt boots,Golden chains,Love
2946,Bear,Sleeveless shirt,Vodka,Sandals with socks,,Party
2947,Bear,Fur coat,Beer,,Balaclava,
2948,Bear,Skin,Vodka,Army boots,,Love
2949,Bear,Hoodie,Vodka,Army boots,,
2950,Bear,Fur coat,Vodka,Sandals with socks,The Ushanka,
2951,Bear,Hoodie,Vodka,Slippers,Scar,
2952,Bear,Atomic suit,Tincture,Felt boots,,Neo
2953,Bear,Military,Vodka,Slippers,,
2954,Bear,Military,Vodka,,The Ushanka,Love
2955,Bear,Shirt with tie,Whiskey,Slippers,Golden chains,
2956,Bear,Military,Vodka,Slippers,,
2957,Bear,Bathrobe,Vodka,Army boots,Balaclava,
2958,Bear,Fur coat,Vodka,Army boots,Scar,
2959,Bear,Shirt with tie,Vodka,Slippers,,Party
2960,Bear,Medical uniform,Vodka,Felt boots,,
2961,Bear,Fur coat,Vodka,Army boots,,
2962,Bear,Fur coat,Beer,,,
2963,Bear,Hoodie,Vodka,Army boots,,Neo
2964,Bear,Skin,Vodka,,Balaclava,Neo
2965,Bear,Sleeveless shirt,Beer,Slippers,Scar,Party
2966,Bear,Bathrobe,Vodka,,Balaclava,Love
2967,Bear,Fur coat,Whiskey,Felt boots,,Black
2968,Bear,Sleeveless shirt,Beer,Felt boots,The Ushanka,
2969,Bear,Vest,Beer,Slippers,,Party
2970,Bear,Vest,Vodka,The Lapti,Balaclava,
2971,Bear,Costume,Beer,Slippers,The Ushanka,Black
2972,Bear,Bathrobe,Vodka,,,
2973,Bear,Hoodie,Vodka,,,
2974,Bear,Vest,Vodka,Army boots,,Black
2975,Bear,Skin,Vodka,Felt boots,,
2976,Bear,Vest,Vodka,Adidas,,Neo
2977,Bear,Shirt with tie,Vodka,The Lapti,Scar,
2978,Bear,Fur coat,Vodka,Slippers,Scar,
2979,Bear,Hoodie,Vodka,The Lapti,,Black
2980,Bear,Sleeveless shirt,Vodka,Felt boots,,
2981,Bear,Vest,Vodka,Felt boots,,
2982,Bear,Worker,Vodka,Felt boots,,
2983,Bear,Costume,Tincture,Sandals with socks,Balaclava,
2984,Bear,Costume,Vodka,Felt boots,,Black
2985,Bear,Skin,Vodka,Felt boots,,Neo
2986,Bear,Costume,Vodka,Slippers,Golden chains,
2987,Bear,Medical uniform,Vodka,Sandals with socks,,Neo
2988,Bear,Sleeveless shirt,Vodka,Army boots,Golden chains,
2989,Bear,Military,Vodka,The Lapti,Balaclava,
2990,Bear,Medical uniform,Moonshine,Slippers,Scar,Party
2991,Bear,Military,Vodka,Felt boots,Balaclava,
2992,Bear,Sleeveless shirt,Vodka,The Lapti,Balaclava,Neo
2993,Bear,Hoodie,Absinthe,The Lapti,,
2994,Bear,Costume,Vodka,Felt boots,,Neo
2995,Bear,Fur coat,Vodka,Adidas,,Party
2996,Bear,Vest,Vodka,Sandals with socks,The Ushanka,
2997,Bear,Shirt with tie,Vodka,,The Ushanka,
2998,Bear,Sleeveless shirt,Tincture,Felt boots,The Ushanka,
2999,Bear,Shirt with tie,Vodka,,,
3000,Bear,Bikini,Vodka,The Lapti,,Black
3001,Bear,Military,Beer,Slippers,,Party
3002,Bear,Medical uniform,Vodka,The Lapti,,
3003,Bear,Bathrobe,Vodka,The Lapti,The Ushanka,Kurt Cobain
3004,Bear,Medical uniform,Vodka,Sandals with socks,,Kurt Cobain
3005,Bear,Fur coat,Vodka,Slippers,Golden chains,Neo
3006,Bear,Shirt with tie,Vodka,Slippers,,
3007,Bear,Vest,Beer,Slippers,,
3008,Bear,Shirt with tie,Vodka,Felt boots,The Ushanka,Black
3009,Bear,Costume,Whiskey,Felt boots,,
3010,Bear,Shirt with tie,Tincture,The Lapti,Scar,
3011,Bear,Military,Vodka,Army boots,Balaclava,Love
3012,Bear,Bathrobe,Whiskey,Slippers,,
3013,Bear,Skin,Vine,Adidas,The Ushanka,
3014,Bear,Shirt with tie,Beer,The Lapti,,
3015,Bear,Hoodie,Vodka,Felt boots,,
3016,Bear,Costume,Vodka,,,
3017,Bear,Hoodie,Vodka,Felt boots,Scar,
3018,Bear,Skin,Vodka,Slippers,,
3019,Bear,Military,Vodka,Felt boots,Golden chains,
3020,Bear,Worker,Vodka,The Lapti,The Ushanka,Kurt Cobain
3021,Bear,Costume,Vodka,Army boots,Scar,
3022,Bear,Vest,Beer,Slippers,Balaclava,Kurt Cobain
3023,Bear,Bathrobe,Beer,Slippers,Scar,
3024,Bear,Vest,Whiskey,The Lapti,Scar,
3025,Bear,Sleeveless shirt,Whiskey,Felt boots,,
3026,Bear,Worker,Vodka,,,
3027,Bear,Bathrobe,Beer,The Lapti,,
3028,Bear,Costume,Vodka,,The Ushanka,
3029,Bear,Worker,Absinthe,The Lapti,,
3030,Bear,Costume,Beer,,Golden chains,
3031,Bear,Worker,Vodka,,,Love
3032,Bear,Hoodie,Vodka,Felt boots,The Ushanka,Black
3033,Bear,Bathrobe,Vodka,The Lapti,,Party
3034,Bear,Shirt with tie,Beer,Army boots,Scar,Love
3035,Bear,Costume,Beer,Adidas,,Kurt Cobain
3036,Bear,Vest,Beer,,,
3037,Bear,Hoodie,Whiskey,Sandals with socks,,Neo
3038,Bear,Shirt with tie,Whiskey,,,Kurt Cobain
3039,Bear,Fur coat,Vodka,Adidas,Golden chains,
3040,Bear,Sleeveless shirt,Beer,,,
3041,Bear,Shirt with tie,Whiskey,Felt boots,Balaclava,Love
3042,Bear,Hoodie,Vodka,Slippers,The Ushanka,Black
3043,Bear,Sleeveless shirt,Whiskey,Felt boots,,
3044,Bear,Hoodie,Whiskey,,Scar,
3045,Bear,Costume,Vodka,Sandals with socks,,
3046,Bear,Costume,Whiskey,Sandals with socks,Balaclava,Love
3047,Bear,Fur coat,Vodka,The Lapti,,
3048,Bear,Military,Beer,,,Love
3049,Bear,Sleeveless shirt,Absinthe,The Lapti,,Party
3050,Bear,Sleeveless shirt,Beer,Army boots,Scar,
3051,Bear,Fur coat,Vodka,Felt boots,Scar,Kurt Cobain
3052,Bear,Fur coat,Vodka,Army boots,Balaclava,
3053,Bear,Hoodie,Vodka,,,Neo
3054,Bear,Medical uniform,Vodka,,Scar,Love
3055,Bear,Medical uniform,Vodka,Slippers,Golden chains,Love
3056,Bear,Shirt with tie,Vodka,The Lapti,,Love
3057,Bear,Bikini,Beer,Army boots,,Kurt Cobain
3058,Bear,Bathrobe,Vodka,,,Love
3059,Bear,Worker,Beer,Slippers,,Party
3060,Bear,Sleeveless shirt,Whiskey,The Lapti,Balaclava,
3061,Bear,Atomic suit,Vodka,The Lapti,,
3062,Bear,Skin,Vodka,Adidas,The Ushanka,Neo
3063,Bear,Hoodie,Vodka,The Lapti,The Ushanka,
3064,Bear,Sleeveless shirt,Beer,Sandals with socks,,Party
3065,Bear,Hoodie,Vodka,Slippers,,
3066,Bear,Costume,Beer,,,
3067,Bear,Vest,Vodka,Felt boots,Balaclava,
3068,Bear,Costume,Vodka,Sandals with socks,,
3069,Bear,Worker,Beer,Army boots,The Ushanka,Black
3070,Bear,Fur coat,Vodka,Sandals with socks,,
3071,Bear,Hoodie,Vodka,Felt boots,Scar,
3072,Bear,Skin,Beer,Adidas,The Ushanka,
3073,Bear,Worker,Vodka,Army boots,Balaclava,
3074,Bear,Military,Vodka,The Lapti,The Ushanka,Black
3075,Bear,Hoodie,Vodka,The Lapti,,Love
3076,Bear,Fur coat,Vodka,,Golden chains,
3077,Bear,Medical uniform,Vodka,Slippers,Balaclava,
3078,Bear,Bathrobe,Vodka,The Lapti,,Neo
3079,Bear,Medical uniform,Beer,Slippers,The Ushanka,
3080,Bear,Fur coat,Vodka,Slippers,Scar,
3081,Bear,Bathrobe,Beer,Slippers,,Black
3082,Bear,Shirt with tie,Whiskey,Army boots,Scar,
3083,Bear,Military,Beer,Felt boots,,
3084,Bear,Fur coat,Vodka,Slippers,Balaclava,
3085,Bear,Military,Whiskey,Army boots,Balaclava,Black
3086,Bear,Shirt with tie,Vodka,Felt boots,,Kurt Cobain
3087,Bear,Military,Beer,Slippers,,
3088,Bear,Bikini,Whiskey,,Golden chains,Kurt Cobain
3089,Bear,Bikini,Beer,,,Party
3090,Bear,Hoodie,Beer,,Golden chains,
3091,Bear,Shirt with tie,Vodka,Adidas,,
3092,Bear,Fur coat,Vodka,Army boots,Balaclava,
3093,Bear,Military,Vine,,,Party
3094,Bear,Fur coat,Vodka,Adidas,,Kurt Cobain
3095,Bear,Bathrobe,Whiskey,The Lapti,,Neo
3096,Bear,Vest,Beer,Sandals with socks,,
3097,Bear,Skin,Tincture,Army boots,,
3098,Bear,Military,Vodka,Sandals with socks,,Black
3099,Bear,Medical uniform,Whiskey,The Lapti,Balaclava,Black
3100,Bear,Costume,Vodka,Army boots,The Ushanka,Black
3101,Bear,Bikini,Vodka,,,Love
3102,Bear,Vest,Beer,The Lapti,,
3103,Bear,Shirt with tie,Vodka,Sandals with socks,Balaclava,
3104,Bear,Worker,Beer,Army boots,,Neo
3105,Bear,Skin,Vodka,Slippers,Golden chains,Love
3106,Bear,Military,Tincture,Felt boots,Golden chains,
3107,Bear,Vest,Vodka,,,
3108,Bear,Costume,Vodka,,Scar,Kurt Cobain
3109,Bear,Vest,Vodka,Sandals with socks,,Neo
3110,Bear,Worker,Vodka,Slippers,Balaclava,
3111,Bear,Hoodie,Vodka,Slippers,Golden chains,Love
3112,Bear,Worker,Beer,Sandals with socks,Balaclava,
3113,Bear,Bathrobe,Whiskey,Slippers,The Ushanka,
3114,Bear,Shirt with tie,Whiskey,Adidas,,
3115,Bear,Sleeveless shirt,Beer,Army boots,,
3116,Bear,Worker,Whiskey,Felt boots,The Ushanka,
3117,Bear,Fur coat,Vodka,Felt boots,,Love
3118,Bear,Costume,Vodka,,,
3119,Bear,Costume,Moonshine,Adidas,,Kurt Cobain
3120,Bear,Costume,Beer,The Lapti,,
3121,Bear,Bathrobe,Beer,Slippers,Golden chains,Love
3122,Bear,Bathrobe,Vodka,Felt boots,,Kurt Cobain
3123,Bear,Vest,Vodka,,,
3124,Bear,Sleeveless shirt,Beer,Felt boots,Balaclava,
3125,Bear,Medical uniform,Beer,Sandals with socks,The Ushanka,Neo
3126,Bear,Skin,Vodka,Army boots,The Ushanka,
3127,Bear,Costume,Vodka,Sandals with socks,Balaclava,
3128,Bear,Fur coat,Vodka,Felt boots,Balaclava,
3129,Bear,Vest,Vodka,Slippers,Scar,
3130,Bear,Military,Whiskey,Slippers,Golden chains,
3131,Bear,Shirt with tie,Whiskey,Felt boots,,Party
3132,Bear,Skin,Vodka,The Lapti,Scar,
3133,Bear,Shirt with tie,Beer,Army boots,,Neo
3134,Bear,Bathrobe,Whiskey,,The Ushanka,Love
3135,Bear,Costume,Vodka,Army boots,The Ushanka,
3136,Bear,Shirt with tie,Beer,Army boots,Scar,
3137,Bear,Costume,Beer,Slippers,,
3138,Bear,Shirt with tie,Vodka,,,
3139,Bear,Hoodie,Beer,The Lapti,,
3140,Bear,Military,Beer,Army boots,Scar,
3141,Bear,Costume,Vodka,Army boots,Balaclava,Black
3142,Bear,Skin,Beer,The Lapti,,
3143,Bear,Fur coat,Vodka,Army boots,Scar,
3144,Bear,Skin,Vodka,Slippers,,
3145,Bear,Military,Beer,Felt boots,Balaclava,
3146,Bear,Military,Beer,,,
3147,Bear,Military,Vodka,The Lapti,,Love
3148,Bear,Medical uniform,Vodka,,,
3149,Bear,Fur coat,Beer,Army boots,,
3150,Bear,Shirt with tie,Beer,Army boots,,
3151,Bear,Medical uniform,Tincture,The Lapti,,
3152,Bear,Bikini,Beer,,Balaclava,
3153,Bear,Costume,Vodka,The Lapti,Golden chains,Kurt Cobain
3154,Bear,Hoodie,Beer,Slippers,Golden chains,
3155,Bear,Hoodie,Beer,Felt boots,Scar,
3156,Bear,Vest,Vodka,Felt boots,,
3157,Bear,Costume,Vodka,Adidas,The Ushanka,
3158,Bear,Shirt with tie,Whiskey,Sandals with socks,,
3159,Bear,Military,Vodka,Felt boots,Golden chains,
3160,Bear,Costume,Moonshine,Felt boots,,
3161,Bear,Worker,Vodka,The Lapti,Balaclava,Black
3162,Bear,Fur coat,Beer,Slippers,,
3163,Bear,Worker,Beer,Army boots,,
3164,Bear,Vest,Whiskey,Adidas,The Ushanka,Party
3165,Bear,Vest,Beer,Army boots,,
3166,Bear,Vest,Beer,Sandals with socks,Scar,Neo
3167,Bear,Costume,Beer,,Golden chains,Party
3168,Bear,Hoodie,Vodka,,,
3169,Bear,Skin,Beer,The Lapti,,Neo
3170,Bear,Military,Vodka,,,
3171,Bear,Sleeveless shirt,Vodka,,,
3172,Bear,Shirt with tie,Tincture,Felt boots,,
3173,Bear,Sleeveless shirt,Vodka,Felt boots,Golden chains,
3174,Bear,Costume,Whiskey,Sandals with socks,,Party
3175,Bear,Bathrobe,Vodka,Felt boots,,Neo
3176,Bear,Military,Vodka,Felt boots,Golden chains,Love
3177,Bear,Sleeveless shirt,Beer,Army boots,,Party
3178,Bear,Fur coat,Beer,Slippers,,
3179,Bear,Sleeveless shirt,Vodka,,Scar,Party
3180,Bear,Medical uniform,Whiskey,The Lapti,,
3181,Bear,Worker,Vodka,The Lapti,Golden chains,
3182,Bear,Bathrobe,Vine,Slippers,The Ushanka,
3183,Bear,Vest,Vodka,Slippers,Balaclava,
3184,Bear,Medical uniform,Vodka,Slippers,The Ushanka,
3185,Bear,Sleeveless shirt,Beer,Army boots,Balaclava,Neo
3186,Bear,Military,Vodka,Felt boots,,
3187,Bear,Skin,Whiskey,,,Party
3188,Bear,Military,Whiskey,Sandals with socks,,
3189,Bear,Vest,Beer,Slippers,The Ushanka,
3190,Bear,Shirt with tie,Vodka,Army boots,Scar,
3191,Bear,Medical uniform,Vodka,The Lapti,,
3192,Bear,Hoodie,Vodka,Felt boots,,Party
3193,Bear,Shirt with tie,Vodka,Slippers,Golden chains,Kurt Cobain
3194,Bear,Skin,Vodka,The Lapti,,Party
3195,Bear,Medical uniform,Vodka,,The Ushanka,
3196,Bear,Worker,Vodka,Slippers,,Black
3197,Bear,Fur coat,Whiskey,,,
3198,Bear,Fur coat,Beer,Slippers,The Ushanka,Love
3199,Bear,Vest,Vodka,Army boots,,
3200,Bear,Costume,Vodka,,,Kurt Cobain
3201,Bear,Hoodie,Beer,Slippers,The Ushanka,
3202,Bear,Fur coat,Vodka,Army boots,Golden chains,
3203,Bear,Worker,Absinthe,,Golden chains,
3204,Bear,Bathrobe,Beer,,,
3205,Bear,Worker,Beer,Felt boots,,Kurt Cobain
3206,Bear,Shirt with tie,Vodka,The Lapti,Scar,
3207,Skelet,,Vodka,Army boots,,
3208,Bear,Hoodie,Whiskey,Felt boots,Balaclava,
3209,Bear,Worker,Vodka,,Scar,Kurt Cobain
3210,Bear,Shirt with tie,Beer,Army boots,,
3211,Bear,Hoodie,Vodka,Sandals with socks,Balaclava,Black
3212,Bear,Sleeveless shirt,Vodka,,,Black
3213,Bear,Medical uniform,Vodka,Slippers,,Black
3214,Bear,Costume,Vodka,Felt boots,Scar,Party
3215,Bear,Worker,Beer,Army boots,,
3216,Bear,Skin,Vodka,Felt boots,Golden chains,
3217,Bear,Costume,Beer,,,Party
3218,Bear,Vest,Vodka,,The Ushanka,Party
3219,Bear,Medical uniform,Beer,Sandals with socks,Balaclava,
3220,Bear,Costume,Vodka,Felt boots,,
3221,Bear,Shirt with tie,Vodka,Felt boots,The Ushanka,Kurt Cobain
3222,Bear,Sleeveless shirt,Vodka,Army boots,,Black
3223,Bear,Worker,Vodka,,Golden chains,
3224,Bear,Hoodie,Beer,Slippers,Scar,Black
3225,Bear,Medical uniform,Vodka,Felt boots,,
3226,Bear,Costume,Vodka,,,
3227,Bear,Shirt with tie,Vodka,,,Kurt Cobain
3228,Bear,Medical uniform,Vodka,Sandals with socks,,
3229,Bear,Medical uniform,Vodka,Felt boots,The Ushanka,Love
3230,Bear,Medical uniform,Vodka,,,
3231,Bear,Bathrobe,Beer,Sandals with socks,The Ushanka,
3232,Bear,Vest,Beer,,Scar,
3233,Bear,Sleeveless shirt,Vodka,Army boots,The Ushanka,Party
3234,Bear,Shirt with tie,Beer,Felt boots,,
3235,Bear,Medical uniform,Beer,Felt boots,Golden chains,
3236,Bear,Medical uniform,Vodka,Felt boots,The Ushanka,
3237,Bear,Costume,Whiskey,Slippers,,
3238,Bear,Hoodie,Beer,The Lapti,Scar,
3239,Bear,Sleeveless shirt,Moonshine,Slippers,,
3240,Bear,Military,Vine,Slippers,Golden chains,
3241,Bear,Worker,Vodka,,,
3242,Bear,Bathrobe,Vodka,,,
3243,Bear,Hoodie,Vodka,Adidas,,Neo
3244,Bear,Military,Beer,Army boots,The Ushanka,
3245,Bear,Costume,Vodka,Adidas,,Party
3246,Bear,Shirt with tie,Vodka,Adidas,Balaclava,Party
3247,Bear,Fur coat,Beer,Slippers,,Black
3248,Bear,Worker,Absinthe,Army boots,,
3249,Bear,Bathrobe,Whiskey,Adidas,Balaclava,
3250,Bear,Shirt with tie,Vodka,Army boots,,Party
3251,Bear,Medical uniform,Beer,Felt boots,,
3252,Bear,Hoodie,Beer,Felt boots,,
3253,Bear,Bathrobe,Whiskey,Army boots,The Ushanka,
3254,Bear,Military,Beer,The Lapti,,
3255,Bear,Medical uniform,Vodka,The Lapti,,
3256,Bear,Skin,Vodka,Army boots,Balaclava,
3257,Bear,Vest,Vodka,,,
3258,Bear,Military,Vodka,,The Ushanka,
3259,Bear,Shirt with tie,Beer,,Scar,Black
3260,Bear,Vest,Vodka,The Lapti,,Black
3261,Bear,Fur coat,Vodka,Felt boots,,Love
3262,Bear,Worker,Vodka,Felt boots,Golden chains,
3263,Bear,Skin,Vodka,The Lapti,Scar,
3264,Bear,Military,Vodka,The Lapti,Scar,
3265,Bear,Bathrobe,Vodka,Sandals with socks,,Black
3266,Bear,Sleeveless shirt,Vodka,Sandals with socks,The Ushanka,Neo
3267,Bear,Vest,Vodka,Sandals with socks,,
3268,Bear,Medical uniform,Beer,The Lapti,,Party
3269,Bear,Fur coat,Whiskey,Slippers,,
3270,Bear,Bathrobe,Beer,Sandals with socks,,Kurt Cobain
3271,Bear,Skin,Beer,Slippers,,
3272,Bear,Vest,Whiskey,The Lapti,Golden chains,
3273,Bear,Medical uniform,Vodka,,,Black
3274,Bear,Medical uniform,Vodka,Slippers,Scar,Party
3275,Bear,Costume,Beer,Felt boots,,Black
3276,Bear,Hoodie,Vodka,Adidas,,Black
3277,Bear,Sleeveless shirt,Whiskey,Felt boots,Scar,
3278,Bear,Costume,Vodka,The Lapti,Golden chains,Love
3279,Bear,Skin,Vodka,Army boots,,
3280,Bear,Hoodie,Vodka,Adidas,Golden chains,Party
3281,Bear,Military,Beer,Sandals with socks,,
3282,Bear,Medical uniform,Whiskey,Army boots,,Party
3283,Bear,Medical uniform,Whiskey,The Lapti,Balaclava,
3284,Bear,Fur coat,Tincture,,The Ushanka,
3285,Bear,Bathrobe,Vodka,The Lapti,The Ushanka,Party
3286,Bear,Shirt with tie,Vodka,The Lapti,,
3287,Bear,Medical uniform,Beer,Slippers,,
3288,Bear,Vest,Whiskey,Felt boots,,
3289,Bear,Skin,Vodka,Army boots,,
3290,Bear,Skin,Whiskey,Felt boots,,Black
3291,Bear,Military,Beer,Felt boots,Scar,
3292,Bear,Bathrobe,Vodka,,,Party
3293,Bear,Bathrobe,Vodka,The Lapti,Golden chains,Black
3294,Bear,Hoodie,Vodka,The Lapti,,
3295,Bear,Fur coat,Vodka,The Lapti,,
3296,Bear,Hoodie,Vodka,Felt boots,,
3297,Skelet,,Absinthe,,,Love
3298,Bear,Bathrobe,Vodka,,,Neo
3299,Bear,Medical uniform,Beer,Army boots,,
3300,Bear,Bathrobe,Whiskey,Army boots,,
3301,Bear,Costume,Vodka,The Lapti,,
3302,Bear,Shirt with tie,Whiskey,The Lapti,,Kurt Cobain
3303,Bear,Bathrobe,Vodka,Felt boots,,
3304,Bear,Hoodie,Vodka,Felt boots,Balaclava,Black
3305,Bear,Sleeveless shirt,Vodka,,Scar,
3306,Bear,Military,Vodka,Slippers,,
3307,Bear,Worker,Beer,Sandals with socks,,
3308,Bear,Worker,Vodka,The Lapti,Golden chains,Kurt Cobain
3309,Bear,Hoodie,Whiskey,The Lapti,,Black
3310,Bear,Bathrobe,Whiskey,,Balaclava,
3311,Bear,Bathrobe,Vodka,Army boots,,
3312,Bear,Fur coat,Beer,Felt boots,,Neo
3313,Bear,Fur coat,Vodka,Army boots,,
3314,Bear,Costume,Vodka,,Balaclava,Love
3315,Bear,Skin,Vodka,Felt boots,,
3316,Bear,Worker,Vodka,The Lapti,Balaclava,Party
3317,Bear,Bathrobe,Beer,Slippers,,
3318,Bear,Bathrobe,Vodka,Slippers,Scar,
3319,Bear,Shirt with tie,Vodka,Sandals with socks,Balaclava,
3320,Bear,Military,Vodka,Adidas,,
3321,Bear,Fur coat,Vodka,Felt boots,Balaclava,Neo
3322,Bear,Hoodie,Whiskey,Felt boots,,
3323,Bear,Fur coat,Beer,,,
3324,Bear,Military,Whiskey,Army boots,,
3325,Bear,Vest,Beer,Sandals with socks,,Love
3326,Bear,Medical uniform,Beer,Slippers,The Ushanka,Love
3327,Bear,Vest,Vodka,Adidas,Golden chains,
3328,Bear,Skin,Vodka,,,Love
3329,Bear,Vest,Vodka,Felt boots,Balaclava,Love
3330,Bear,Fur coat,Beer,The Lapti,,
3331,Bear,Bathrobe,Vodka,Army boots,,Black
3332,Bear,Costume,Vodka,The Lapti,,
3333,Bear,Fur coat,Vodka,Slippers,Balaclava,
3334,Bear,Worker,Beer,Slippers,,
3335,Bear,Shirt with tie,Vodka,,Balaclava,
3336,Bear,Bathrobe,Vodka,Felt boots,,Party
3337,Bear,Hoodie,Vodka,,,Party
3338,Bear,Bikini,Vodka,The Lapti,The Ushanka,
3339,Bear,Sleeveless shirt,Vodka,,Scar,
3340,Bear,Costume,Vodka,,,
3341,Bear,Skin,Vodka,,Scar,
3342,Bear,Shirt with tie,Vodka,Felt boots,,
3343,Bear,Military,Vodka,Adidas,,Party
3344,Bear,Military,Vodka,,,Kurt Cobain
3345,Bear,Medical uniform,Vodka,Felt boots,Balaclava,Black
3346,Bear,Shirt with tie,Vodka,,Scar,
3347,Bear,Fur coat,Vodka,Army boots,,Kurt Cobain
3348,Bear,Bathrobe,Vodka,,,
3349,Bear,Costume,Vine,Army boots,,
3350,Bear,Costume,Beer,,Balaclava,Love
3351,Bear,Military,Vodka,Army boots,Golden chains,
3352,Bear,Fur coat,Whiskey,,Scar,Black
3353,Bear,Vest,Vodka,Felt boots,Scar,
3354,Bear,Medical uniform,Whiskey,Felt boots,,Neo
3355,Bear,Costume,Vodka,,,Neo
3356,Bear,Vest,Tincture,The Lapti,,
3357,Bear,Costume,Vine,The Lapti,,
3358,Bear,Medical uniform,Beer,Slippers,,
3359,Bear,Bathrobe,Beer,,Balaclava,Neo
3360,Bear,Fur coat,Whiskey,The Lapti,,Neo
3361,Bear,Hoodie,Beer,Sandals with socks,,
3362,Bear,Hoodie,Vodka,,,
3363,Bear,Costume,Absinthe,Sandals with socks,Scar,
3364,Bear,Hoodie,Whiskey,The Lapti,,
3365,Bear,Medical uniform,Beer,Adidas,,Kurt Cobain
3366,Bear,Sleeveless shirt,Beer,,The Ushanka,Black
3367,Bear,Fur coat,Vodka,Slippers,,
3368,Bear,Skin,Moonshine,Slippers,Balaclava,
3369,Bear,Vest,Vodka,The Lapti,,Neo
3370,Bear,Sleeveless shirt,Beer,Sandals with socks,,Neo
3371,Bear,Military,Vodka,,,
3372,Bear,Worker,Vodka,Sandals with socks,Golden chains,Black
3373,Bear,Skin,Vodka,Felt boots,Golden chains,Neo
3374,Bear,Skin,Vodka,,Scar,
3375,Bear,Sleeveless shirt,Vodka,Army boots,,Party
3376,Bear,Military,Vodka,Army boots,,
3377,Bear,Hoodie,Vodka,The Lapti,,Black
3378,Bear,Hoodie,Beer,Slippers,,Kurt Cobain
3379,Bear,Shirt with tie,Whiskey,,,
3380,Bear,Vest,Vodka,Slippers,,
3381,Bear,Skin,Vodka,Sandals with socks,The Ushanka,Party
3382,Bear,Fur coat,Vodka,Slippers,Balaclava,
3383,Bear,Fur coat,Vodka,The Lapti,,Kurt Cobain
3384,Bear,Worker,Beer,The Lapti,The Ushanka,
3385,Bear,Shirt with tie,Vodka,The Lapti,Balaclava,
3386,Bear,Vest,Vodka,Felt boots,The Ushanka,Love
3387,Bear,Bathrobe,Vodka,The Lapti,,Neo
3388,Bear,Bathrobe,Vodka,,Balaclava,Black
3389,Bear,Bikini,Vodka,,Balaclava,
3390,Bear,Bathrobe,Vodka,Felt boots,Golden chains,Neo
3391,Bear,Costume,Vodka,The Lapti,Golden chains,
3392,Bear,Medical uniform,Vodka,Sandals with socks,,Kurt Cobain
3393,Bear,Fur coat,Vodka,The Lapti,,
3394,Bear,Shirt with tie,Vodka,Sandals with socks,Balaclava,
3395,Bear,Vest,Vodka,The Lapti,,Neo
3396,Bear,Military,Beer,Army boots,Balaclava,Party
3397,Bear,Astronaut,Vodka,The Lapti,,Neo
3398,Bear,Worker,Beer,Army boots,Golden chains,Kurt Cobain
3399,Bear,Shirt with tie,Whiskey,,The Ushanka,
3400,Bear,Military,Vodka,Felt boots,,Party
3401,Bear,Sleeveless shirt,Vodka,Army boots,Golden chains,Black
3402,Bear,Bikini,Beer,The Lapti,,
3403,Bear,Hoodie,Absinthe,Felt boots,Scar,
3404,Bear,Fur coat,Vine,Adidas,Golden chains,Black
3405,Bear,Medical uniform,Whiskey,,,
3406,Bear,Vest,Whiskey,Army boots,,
3407,Bear,Vest,Beer,Felt boots,,Party
3408,Bear,Sleeveless shirt,Absinthe,,The Ushanka,
3409,Bear,Bathrobe,Vodka,,,
3410,Bear,Costume,Absinthe,,,
3411,Bear,Vest,Beer,Felt boots,Balaclava,
3412,Bear,Skin,Vodka,Adidas,Scar,
3413,Bear,Hoodie,Whiskey,Felt boots,,Kurt Cobain
3414,Bear,Sleeveless shirt,Beer,Army boots,,Neo
3415,Bear,Worker,Vodka,Adidas,,
3416,Bear,Military,Absinthe,,,
3417,Bear,Shirt with tie,Vodka,Sandals with socks,,
3418,Bear,Sleeveless shirt,Beer,Adidas,,Neo
3419,Bear,Costume,Whiskey,,Golden chains,Kurt Cobain
3420,Bear,Military,Vine,Sandals with socks,,
3421,Bear,Worker,Whiskey,The Lapti,,
3422,Bear,Vest,Beer,The Lapti,,
3423,Bear,Shirt with tie,Vodka,Army boots,,Kurt Cobain
3424,Bear,Fur coat,Vodka,The Lapti,Balaclava,
3425,Bear,Fur coat,Tincture,Sandals with socks,Balaclava,
3426,Bear,Worker,Whiskey,Slippers,,
3427,Bear,Costume,Beer,Slippers,,
3428,Bear,Fur coat,Vodka,Felt boots,,
3429,Bear,Medical uniform,Vine,The Lapti,,Black
3430,Bear,Sleeveless shirt,Vodka,Army boots,Balaclava,Party
3431,Bear,Medical uniform,Beer,Slippers,Golden chains,
3432,Bear,Sleeveless shirt,Beer,The Lapti,Golden chains,Black
3433,Bear,Fur coat,Vodka,Sandals with socks,,
3434,Bear,Bikini,Beer,Slippers,Golden chains,Party
3435,Bear,Vest,Vodka,The Lapti,Golden chains,
3436,Bear,Medical uniform,Vodka,Army boots,,Love
